date,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,all_genre,main_genre
2019-03-02,Arms Around You,xxxtentacion,NA,,NA,98,,,,,"[u'emo rap', u'miami hip hop']",[u'miami hip hop']
2019-03-02,Startender,a boogie wit da hoodie,NA,,NA,99,,,,,"[u'melodic rap', u'pop rap', u'rap', u'trap']",[u'trap']
2019-03-09,Backin' It Up,pardison fontaine,40,47,20,48,,,,,"[u'nyc rap', u'rap']",[u'rap']
2019-03-09,Legacy,offset,49,49,2,49,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-03-09,I'll Never Love Again,lady gaga,56,85,3,62,,,,,"[u'dance pop', u'pop']",[u'pop']
2019-03-09,How Did I Get Here,offset,69,83,8,65,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-03-09,NASA,ariana grande,61,78,17,68,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-03-09,Outstanding,gunna,56,-,2,70,,,,,"[u'atl hip hop', u'hip hop', u'melodic rap', u'rap', u'trap']",[u'trap']
2019-03-09,Be Like Me,lil pump,74,77,9,72,,,,,"[u'emo rap', u'miami hip hop', u'rap', u'trap']",[u'trap']
2019-03-09,3 Headed Snake,gunna,81,81,4,74,,,,,"[u'atl hip hop', u'hip hop', u'melodic rap', u'rap', u'trap']",[u'trap']
2019-03-09,Wit It,gunna,46,68,13,75,,,,,"[u'atl hip hop', u'hip hop', u'melodic rap', u'rap', u'trap']",[u'trap']
2019-03-09,This Feeling,the chainsmokers,21,58,8,77,,,,,"[u'electropop', u'pop', u'tropical house']",[u'tropical house']
2019-03-09,One Call,gunna,84,84,2,78,,,,,"[u'atl hip hop', u'hip hop', u'melodic rap', u'rap', u'trap']",[u'trap']
2019-03-09,Nothing Breaks Like A Heart,mark ronson,80,80,2,84,,,,,"[u'dance pop', u'pop']",[u'pop']
2019-03-09,Imagine,ariana grande,84,96,9,85,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-03-09,Lick,offset,80,98,3,86,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-03-09,Bad Idea,ariana grande,41,64,9,90,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-03-09,Speed It Up,gunna,80,98,5,91,,,,,"[u'atl hip hop', u'hip hop', u'melodic rap', u'rap', u'trap']",[u'trap']
2019-03-09,Bloodline,ariana grande,91,-,6,93,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-03-09,I Guess I Just Feel Like,john mayer,79,-,6,94,,,,,"[u'neo mellow', u'pop', u'pop rock', u'singer-songwriter']",[u'singer-songwriter']
2019-03-09,Same Yung N***a,gunna,83,-,9,97,,,,,"[u'atl hip hop', u'hip hop', u'melodic rap', u'rap', u'trap']",[u'trap']
2019-03-16,Leave Me Alone,flipp dinero,6,43,28,45,,,,,"[u'melodic rap', u'pop rap', u'rap', u'southern hip hop', u'trap', u'underground hip hop', u'vapor trap']",[u'vapor trap']
2019-03-16,Mo Bamba,sheck wes,44,55,4,47,,,,,"[u'rap', u'trap', u'underground hip hop', u'vapor trap']",[u'vapor trap']
2019-03-16,Burn Out,midland,61,76,18,63,,,,,"[u'contemporary country', u'neo-traditional country', u'texas country']",[u'texas country']
2019-03-16,Red Room,offset,46,83,14,73,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-03-16,Whip,2 chainz,44,79,17,75,,,,,"[u'atl hip hop', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-03-16,Armed And Dangerous,juice wrld,64,-,18,82,,,,,"[u'chicago rap', u'melodic rap']",[u'melodic rap']
2019-03-16,Needy,ariana grande,68,89,7,92,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-03-16,Love Someone,lukas graham,77,77,2,96,,,,,"[u'danish pop', u'pop', u'scandipop']",[u'scandipop']
2019-03-16,Momma I Hit A Lick,2 chainz,NA,,NA,100,,,,,"[u'atl hip hop', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-03-23,Wake Up In The Sky,gucci mane,29,46,10,48,,,,,"[u'atl hip hop', u'dirty south rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-03-23,Maze,juice wrld,46,61,16,65,,,,,"[u'chicago rap', u'melodic rap']",[u'melodic rap']
